連番,アイテム名
186,ヴォルパーティンガー
187,ハートの容器
188,吸血グローブ
189,マナ喰らいの剣
190,ポイズンスピア
191,石の鎧
192,スチール・スラバート
193,石のヘルム
194,カタナ
195,ウイングブーツ
196,ブラッディ・スラバート
197,苦痛のヘルム
198,あまりにも大きすぎるグレートソード
199,プリズムオーブ
200,ローズウィップ
201,英雄のロングソード
202,ハヤブサのつるぎ
203,吸血鬼の鎧
204,ブラッドソーン
205,ストーンゴーレム
206,ライト・スラバート
207,完璧なルビー
208,完璧なサファイア
209,完璧なトパーズ
210,完璧なエメラルド
211,完璧なアメシスト
212,毒蛇の杖
213,ダークセイバー
214,プリズムソード
215,王の冠
216,ホーリースピア
217,月の盾
218,月の鎧
219,堕落せし鎧
220,暗黒のハート
221,極楽チュン
222,キング・スラバート
223,クロスブレード
224,ショートボウ
225,突きキバの短弓
226,弓矢
227,フォルトゥナの願い弓
228,リス・アーチャー
229,クリティカルの杖
230,つらぬきキバの弓矢
231,フォルトゥナの加護弓
232,ささやきベラドンナの毒弓
233,ベラドンナの影毒弓
234,幸運のクローバー
235,ドングリの首飾り
236,幸運のブタちゃん
237,赤ランの首飾り
238,青セージの首飾り
239,白ユリの首飾り
240,つらぬきの矢
241,ユグドラシルの葉
242,ドクウルシ
243,メガ・クローバー
244,レンジャーのカバン
245,つる織りバスケット
246,ネズミ
247,リス
248,ネズミ・シェフ
249,ハリネズミ
250,ニンジン・スラバート
251,スノーマスター
252,レインボー・スラバート・マッド・アルファ
253,ハイパー・ハリネズミ
254,ニンジン
255,エサの盛り合わせ
256,マークスウーマン
257,ドングリ・エース
258,死神の鎌
259,呪われしダガー
260,ルビーの火トカゲ
261,癒さずの杖
262,アイスドラゴン
263,カードデッキ
264,ミス・フォーチュン
265,ミセス・ストラグルズ
266,夜闇のヘアコーム
267,ミスター・ストラグルズ
268,大ナベ
269,棺型バッグ
270,レリックケース
271,カエル
272,ポイズン・スラバート
273,ドクガエル
274,レインボー・スラバート・プライム・オメガ
275,カラス
276,ヘビ
277,恋人のカード
278,スペードのエース
279,リバース！
280,白眼の青龍
281,愚者のカード
282,炎トカゲのホロカード
283,ダーク・ロータス
284,ジョーカー
285,デス・ロータス
286,強疫毒のフラスコ
287,ハイマナポーション
288,悪鬼のフラスコ
289,凶悪鬼のフラスコ
290,極吸血のポーション
291,神聖なるポーション
292,ベニテングダケ
293,ハメツダケ
294,キノコ農園
295,カードの心臓
296,闇の儀式
297,フレイム
298,トウガラシ
299,呪文の巻物：霜撃
300,ドラゴンオーブ
301,ヒートダガー
302,ヒートスピア
303,炎の剣
304,トウガラシ・スラバート
305,ターボ・シェリー
306,フェニックス
307,エメラルドエッグ
308,サファイアエッグ
309,アメシストエッグ
310,灼炎の剣
311,フレイムウィップ
312,炎の杖
313,エメラルドの幼竜
314,サファイアの幼竜
315,アメシストの幼竜
316,ヒートグレートソード
317,黒曜のドラゴン
318,太陽の盾
319,太陽の鎧
320,レインボー・スラバード・エピック・ウーバー
321,常炎
322,ソラリス
323,フレンドリーな火
324,燃えさかる旗印
325,闇のランタン
326,フローズンフレイム
327,ドラゴンの寝床
328,たき火台
329,供物皿
330,オノ
331,ダブルアックス
332,勇敢な子狼
333,チェーンウィップ
334,トゲの杖
335,破滅のグレートソード
336,武装した勇敢な子狼
337,鍛冶屋のハンマー
338,ブラスナックル
339,トゲつきチョーカー
340,狼の紋章
341,かなとこ
342,シカ神のトーテム
343,シャーマンの仮面
344,ダッフルバッグ
345,便利ポーチ
346,アナグマのルーン
347,ゾウのルーン
348,タカのルーン
349,トラのルーン
350,聡明な子狼
351,力持ちの子狼
352,チーズ・スラバート
353,レインボー・スラバート・デス・マンイーター
354,武装した聡明な子狼
355,武装した力持ちの子狼
356,チーズ
357,トゲの壁
358,竜鱗の鎧
359,ドラゴン革のブーツ
360,ドラゴンクロー
361,さらなる怒り
362,ドラゴンセット
363,無の剣
364,カップケーキの杖
365,水のエレメンタル
366,均衡のワンド
367,チェスボード
368,プリズムワンド
369,精霊のベル
370,愛情のパズルバッグ
371,改善のパズルバッグ
372,破滅のパズルバッグ
373,活力のパズルバッグ
374,持続のパズルバッグ
375,学者のカバン
376,パズルボックス
377,ネコの精霊
378,フクロウの精霊
379,アナグマの精霊
380,カップケーキ・スラバート
381,レインボー・スラバート・オムニ・シュガー
382,憎たらしい帽子・ハロルド
383,ゼロから学ぶ魔法
384,氷結魔法の手引き
385,自然の年代記：木々
386,暗黒の百科事典
387,神聖なる経典
388,呪文の巻物：再生
389,呪文の巻物：清らかなる祝福
390,呪文の巻物：氷の障壁
391,ランタンベリー
392,コールドミラー
393,アイスフラワー
394,貪食のスフィア
395,デス・ロータス
396,呪文の巻物：闇の狂乱
397,白のポーン
398,黒のポーン
399,白のナイト
400,黒のナイト
401,白のビショップ
402,黒のビショップ
403,白のルーク
404,黒のルーク
405,白のクイーン
406,黒のクイーン
407,白のキング
408,黒のキング
409,レインボーポーション
410,カップケーキ
411,輝く外套
412,メイジの帽子
413,魔眼
414,超覚醒
415,結び糸
416,ブロッコリー
417,レベルアップ
418,ブーメラン
419,英雄の盾
420,ロープ
421,宝箱
422,ベリーロングスピア
423,二刀流
424,ダガーラン
425,従業員の制服
426,ブロッコリー・スラバート
427,富のブタちゃん
428,アリスイの杖
429,ドラゴンナイト
430,ハートの盾
431,レインボー・スラバート・ギガ・ロマネスコ
432,あまりにも大きすぎるブラッドソーン
433,水銀のエレメンタル
434,フェドーラ帽
435,カメ
436,シザーソード
437,天秤
438,裁縫セット
439,ウクレレ
440,施し袋
441,バッテリー
442,光輝のアミュレット
443,煮え立つ鍋
444,仕上砥石
445,食パン
446,トースト
447,歯車
448,マナナ
449,鋼の核
450,発電機
451,コイル
452,分電器
453,レンチ
454,トールハンマー
455,トースト
456,電動たいまつ
457,スタンクスの爪楊枝
458,ハルバード
459,ブレイズスピア
460,魔法の指輪
461,チェーンソー
462,雷の杖
463,メカバット
464,才気のヘルム
465,神秘のブーツ
466,ポイズングレネード
467,トースト・スラバート
468,ウィスプ
469,シャベルB01-3000
470,バネ式加速器
471,至極の指輪
472,パインの盾
473,不協和のワンド
474,動物との対話
475,交渉成立
476,キンキラ・キング
477,金の鎧
478,カエル王子
479,フォレストドラゴン
480,パンツァードラゴン
481,致死毒
482,戦鎌
483,カップドレイク
484,内なる力
485,怒れるフェニックス
486,灼熱の棘
487,チェスマスター
488,呪術
489,ブロッコツリー
490,アブラガタブラ
491,オートマナトン
492,サンダードレイク
493,ギガワット
494,エネルギー変換
495,ブッパナシネーター
496,ルーレット
497,魔導の鎧
498,レインボー・スラバート・フラッフィー・プリズム
499,コン・トラップ・トロン
500,イート・オ・マティック
501,永久運動
502,トゲのエレメンタル
503,瓶詰の雷
504,サブスク高級プラン
505,天使のクリスタル
506,ナマケモノ
507,歯車バッジ
508,テスラコイル
509,マナクリスタル
510,実験所
511,メカアーマー
512,ハイパーキューブ
513,ゴールドキューブ
514,ビスマスキューブ
515,クロムキューブ
516,プラスチックキューブ
517,ポート・オ・チャージャー
518,歯車仕掛けの箱
